from,year_month,monthly_sentiment_score,message_count,positive_count,negative_count,neutral_count,avg_score_per_message
bobette.riner@ipgdirect.com,2010-02,5,5,5,0,0,1.0
bobette.riner@ipgdirect.com,2010-03,5,5,5,0,0,1.0
bobette.riner@ipgdirect.com,2010-04,2,2,2,0,0,1.0
bobette.riner@ipgdirect.com,2010-05,1,1,1,0,0,1.0
bobette.riner@ipgdirect.com,2010-06,2,2,2,0,0,1.0
bobette.riner@ipgdirect.com,2010-07,4,4,4,0,0,1.0
bobette.riner@ipgdirect.com,2010-08,4,4,4,0,0,1.0
bobette.riner@ipgdirect.com,2010-09,5,5,5,0,0,1.0
bobette.riner@ipgdirect.com,2010-10,2,2,2,0,0,1.0
bobette.riner@ipgdirect.com,2010-11,9,9,9,0,0,1.0
bobette.riner@ipgdirect.com,2010-12,1,1,1,0,0,1.0
bobette.riner@ipgdirect.com,2011-01,6,6,6,0,0,1.0
bobette.riner@ipgdirect.com,2011-03,4,4,4,0,0,1.0
bobette.riner@ipgdirect.com,2011-04,6,6,6,0,0,1.0
bobette.riner@ipgdirect.com,2011-05,1,1,1,0,0,1.0
bobette.riner@ipgdirect.com,2011-06,5,5,5,0,0,1.0
bobette.riner@ipgdirect.com,2011-07,3,3,3,0,0,1.0
bobette.riner@ipgdirect.com,2011-09,4,4,4,0,0,1.0
bobette.riner@ipgdirect.com,2011-11,7,7,7,0,0,1.0
don.baughman@enron.com,2010-01,5,5,5,0,0,1.0
don.baughman@enron.com,2010-02,5,5,5,0,0,1.0
don.baughman@enron.com,2010-03,2,2,2,0,0,1.0
don.baughman@enron.com,2010-04,4,4,4,0,0,1.0
don.baughman@enron.com,2010-05,8,8,8,0,0,1.0
don.baughman@enron.com,2010-06,7,7,7,0,0,1.0
don.baughman@enron.com,2010-07,3,3,3,0,0,1.0
don.baughman@enron.com,2010-08,2,2,2,0,0,1.0
don.baughman@enron.com,2010-09,1,1,1,0,0,1.0
don.baughman@enron.com,2010-11,2,2,2,0,0,1.0
don.baughman@enron.com,2010-12,4,4,4,0,0,1.0
don.baughman@enron.com,2011-01,5,5,5,0,0,1.0
don.baughman@enron.com,2011-02,1,1,1,0,0,1.0
don.baughman@enron.com,2011-03,1,1,1,0,0,1.0
don.baughman@enron.com,2011-04,2,2,2,0,0,1.0
don.baughman@enron.com,2011-05,1,1,1,0,0,1.0
don.baughman@enron.com,2011-06,3,3,3,0,0,1.0
don.baughman@enron.com,2011-07,2,2,2,0,0,1.0
don.baughman@enron.com,2011-08,3,3,3,0,0,1.0
don.baughman@enron.com,2011-09,5,5,5,0,0,1.0
don.baughman@enron.com,2011-10,3,3,3,0,0,1.0
don.baughman@enron.com,2011-11,2,2,2,0,0,1.0
don.baughman@enron.com,2011-12,3,3,3,0,0,1.0
eric.bass@enron.com,2010-01,5,5,5,0,0,1.0
eric.bass@enron.com,2010-02,2,2,2,0,0,1.0
eric.bass@enron.com,2010-03,3,3,3,0,0,1.0
eric.bass@enron.com,2010-04,1,1,1,0,0,1.0
eric.bass@enron.com,2010-05,5,5,5,0,0,1.0
eric.bass@enron.com,2010-07,10,10,10,0,0,1.0
eric.bass@enron.com,2010-08,1,1,1,0,0,1.0
eric.bass@enron.com,2010-09,6,6,6,0,0,1.0
eric.bass@enron.com,2010-10,4,4,4,0,0,1.0
eric.bass@enron.com,2010-11,2,2,2,0,0,1.0
eric.bass@enron.com,2011-01,5,5,5,0,0,1.0
eric.bass@enron.com,2011-03,5,5,5,0,0,1.0
eric.bass@enron.com,2011-04,4,4,4,0,0,1.0
eric.bass@enron.com,2011-05,7,7,7,0,0,1.0
eric.bass@enron.com,2011-06,8,8,8,0,0,1.0
eric.bass@enron.com,2011-07,2,2,2,0,0,1.0
eric.bass@enron.com,2011-08,2,2,2,0,0,1.0
eric.bass@enron.com,2011-09,4,4,4,0,0,1.0
eric.bass@enron.com,2011-10,3,3,3,0,0,1.0
eric.bass@enron.com,2011-12,7,7,7,0,0,1.0
john.arnold@enron.com,2010-01,3,3,3,0,0,1.0
john.arnold@enron.com,2010-02,6,6,6,0,0,1.0
john.arnold@enron.com,2010-03,8,8,8,0,0,1.0
john.arnold@enron.com,2010-04,3,3,3,0,0,1.0
john.arnold@enron.com,2010-05,4,4,4,0,0,1.0
john.arnold@enron.com,2010-06,5,5,5,0,0,1.0
john.arnold@enron.com,2010-07,4,4,4,0,0,1.0
john.arnold@enron.com,2010-08,4,4,4,0,0,1.0
john.arnold@enron.com,2010-09,5,5,5,0,0,1.0
john.arnold@enron.com,2010-10,4,4,4,0,0,1.0
john.arnold@enron.com,2010-11,7,7,7,0,0,1.0
john.arnold@enron.com,2010-12,7,7,7,0,0,1.0
john.arnold@enron.com,2011-01,1,1,1,0,0,1.0
john.arnold@enron.com,2011-02,8,8,8,0,0,1.0
john.arnold@enron.com,2011-03,4,4,4,0,0,1.0
john.arnold@enron.com,2011-05,5,5,5,0,0,1.0
john.arnold@enron.com,2011-06,5,5,5,0,0,1.0
john.arnold@enron.com,2011-07,3,3,3,0,0,1.0
john.arnold@enron.com,2011-08,5,5,5,0,0,1.0
john.arnold@enron.com,2011-10,8,8,8,0,0,1.0
john.arnold@enron.com,2011-11,4,4,4,0,0,1.0
john.arnold@enron.com,2011-12,1,1,1,0,0,1.0
johnny.palmer@enron.com,2010-01,4,4,4,0,0,1.0
johnny.palmer@enron.com,2010-02,5,5,5,0,0,1.0
